,khipu_id,name,num_sum_cords,num_left_sums,num_right_sums,max_indexed_subsidiary_cords,min_sum,max_sum,mean_sum,handedness
465,1000509,UR198,0,0,0,0,0,0,0,0
466,1000510,UR199,0,0,0,0,0,0,0,0
467,1000511,UR200,0,0,0,0,0,0,0,0
468,1000512,UR201,0,0,0,0,0,0,0,0
469,1000513,UR202,0,0,0,0,0,0,0,0
470,1000514,UR203,14,4,10,6,13,61,28,24.071428571428573
471,1000515,UR204,4,0,4,3,14,48,22,8.5
472,1000516,UR205,0,0,0,0,0,0,0,0
473,1000517,UR206,0,0,0,0,0,0,0,0
474,1000518,UR207,1,0,1,3,13,13,13,35
475,1000519,UR208,4,1,3,6,66,200,156,48.5
476,1000520,UR209,0,0,0,0,0,0,0,0
477,1000521,UR210,0,0,0,0,0,0,0,0
478,1000522,UR211,0,0,0,0,0,0,0,0
479,1000523,UR212,0,0,0,0,0,0,0,0
480,1000524,UR213,6,2,4,16,38,409,231,0.8333333333333334
481,1000525,UR214,0,0,0,0,0,0,0,0
482,1000526,UR215,12,3,9,7,13,37,25,22.083333333333332
483,1000527,UR216,0,0,0,0,0,0,0,0
484,1000528,UR217,1,0,1,5,52,52,52,20
485,1000529,UR218,0,0,0,0,0,0,0,0
486,1000530,UR219,0,0,0,0,0,0,0,0
487,1000531,UR220,0,0,0,0,0,0,0,0
488,1000533,UR222,0,0,0,0,0,0,0,0
489,1000534,UR223,0,0,0,0,0,0,0,0
490,1000535,UR225,0,0,0,0,0,0,0,0
491,1000536,UR226,1,0,1,3,297,297,297,6
492,1000537,UR227,0,0,0,0,0,0,0,0
493,1000538,UR228,0,0,0,0,0,0,0,0
494,1000539,UR229,0,0,0,0,0,0,0,0
495,1000540,UR230,0,0,0,0,0,0,0,0
496,1000541,UR231,0,0,0,0,0,0,0,0
497,1000542,UR232,0,0,0,0,0,0,0,0
498,1000543,UR233,0,0,0,0,0,0,0,0
499,1000544,UR234,0,0,0,0,0,0,0,0
500,1000545,UR235,4,2,2,5,11,19,15,-11.25
501,1000551,UR237,0,0,0,0,0,0,0,0
502,1000552,UR238,0,0,0,0,0,0,0,0
503,1000553,UR239,0,0,0,0,0,0,0,0
504,1000554,UR240,0,0,0,0,0,0,0,0
505,1000549,UR241,2,1,1,5,14,26,20,-1.5
506,1000547,UR242,1,0,1,3,12,12,12,6
507,1000548,UR243,0,0,0,0,0,0,0,0
508,1000555,UR244,0,0,0,0,0,0,0,0
