,khipu_id,name,cord_id,cord_name,cord_position,cord_position_index,parent_cord_position,cord_value,cord_color,num_summands,sum_string,handedness
269,1000314,UR1095,3026764,p43s3,"B@[2, 40, 2]:12","(40, 2)","B@[2, 40]:7",12,B,3,"B@[3, 9]:1 + B@[3, 10]:10 + B@[3, 11]:1",11
270,1000314,UR1095,3026766,p43s5,"B@[2, 40, 4]:17","(40, 4)","B@[2, 40]:7",17,B,3,"B@[4, 4]:10 + B@[4, 5]:4 + B@[4, 6]:3",26
271,1000314,UR1095,3026780,p95s2,"B@[4, 31, 1]:110","(31, 1)","B@[4, 31]:15",110,B,6,"B@[6, 0]:11 + B@[6, 1]:11 + B@[6, 2]:12 + VB@[6, 3]:30 + B@[6, 4]:37 + B@[6, 5]:9",12
272,1000314,UR1095,3026782,p97s1,"B@[5, 0, 0]:110","(0, 0)","B@[5, 0]:2113",110,B,6,"B@[6, 0]:11 + B@[6, 1]:11 + B@[6, 2]:12 + VB@[6, 3]:30 + B@[6, 4]:37 + B@[6, 5]:9",10
273,1000314,UR1095,3026786,p104s3,"B@[6, 0, 2]:111","(0, 2)","B@[6, 0]:11",111,B,6,"B@[6, 1]:11 + B@[6, 2]:12 + VB@[6, 3]:30 + B@[6, 4]:37 + B@[6, 5]:9 + B@[6, 6]:12",3
274,1000042,UR1100,3006069,p1s1,"G0@[0, 0, 0]:365","(0, 0)","W@[0, 0]:259",365,G0,49,"B@[1, 2]:31 + W@[1, 3]:42 + DB@[1, 4]:31 + B@[1, 5]:36 + B@[2, 0]:15 + B@[2, 1]:12 + B@[2, 2]:13 + B@[2, 3]:8 + B@[2, 4]:8 + B@[2, 5]:8 + B@[2, 6]:11 + B@[2, 7]:6 + B@[2, 8]:5 + W@[3, 1]:8 + BB@[3, 2]:4 + BB@[3, 3]:5 + BB@[3, 4]:4 + BB@[3, 5]:3 + BB@[3, 6]:2 + BB@[3, 7]:4 + BB@[3, 8]:3 + BB@[3, 9]:6 + B@[4, 0]:5 + B@[4, 1]:4 + B@[4, 2]:2 + B@[4, 3]:2 + B@[4, 4]:2 + B@[4, 5]:1 + B@[4, 6]:4 + B@[4, 7]:3 + B@[4, 8]:2 + B@[4, 9]:6 + W@[5, 0]:7 + W@[5, 1]:4 + W@[5, 2]:7 + W@[5, 3]:5 + W@[5, 4]:3 + W@[5, 5]:3 + W@[5, 6]:4 + W@[5, 7]:2 + W@[5, 8]:7 + W@[6, 0]:2 + W@[6, 1]:5 + W@[6, 2]:2 + W@[6, 3]:6 + W@[6, 4]:2 + W@[6, 5]:4 + W@[6, 6]:5 + W@[6, 7]:1",28
275,1000042,UR1100,3006070,p2s1,"DB@[1, 0, 0]:54","(0, 0)","W@[1, 0]:81",54,DB,6,"B@[2, 2]:13 + B@[2, 3]:8 + B@[2, 4]:8 + B@[2, 5]:8 + B@[2, 6]:11 + B@[2, 7]:6",11
276,1000042,UR1100,3006072,p4s1,"DB@[1, 2, 0]:61","(2, 0)","B@[1, 2]:31",61,DB,12,"B@[2, 6]:11 + B@[2, 7]:6 + B@[2, 8]:5 + W@[3, 1]:8 + BB@[3, 2]:4 + BB@[3, 3]:5 + BB@[3, 4]:4 + BB@[3, 5]:3 + BB@[3, 6]:2 + BB@[3, 7]:4 + BB@[3, 8]:3 + BB@[3, 9]:6",16
277,1000047,UR1103,3006503,p5s1,"CB@[1, 2, 0]:205","(2, 0)","LB@[1, 2]:328",205,CB,5,"LB@[3, 4]:42 + CB@[3, 5]:20 + LB@[3, 6]:52 + CB@[3, 7]:18 + LB@[3, 8]:73",21
278,1000063,UR1114,3007721,p86s1,"GY@[2, 66, 0]:12","(66, 0)","G0@[2, 66]:72",12,GY,4,"B@[2, 5]:4 + B@[2, 6]:3 + B@[2, 7]:3 + B@[2, 8]:2",-59
279,1000063,UR1114,3007724,p155s1,"W:B:CB@[2, 135, 0]:12","(135, 0)","B:CB@[2, 135]:10",12,W:B:CB,3,"B@[2, 77]:5 + B@[2, 78]:5 + B@[2, 79]:2",-57
280,1000063,UR1114,3007728,p245s1,"GY@[3, 65, 0]:24","(65, 0)","G0@[3, 65]:0",24,GY,5,"CB@[2, 116]:1 + CB@[2, 117]:2 + CB@[2, 118]:4 + CB@[2, 119]:6 + B@[2, 123]:11",-106
281,1000063,UR1114,3007729,p246s1,"GY@[3, 66, 0]:13","(66, 0)","G0@[3, 66]:15",13,GY,3,"B@[3, 4]:3 + B@[3, 5]:4 + B@[3, 6]:6",-61
282,1000063,UR1114,3007730,p264s1,"G0@[3, 84, 0]:35","(84, 0)","YB@[3, 84]:7",35,G0,3,"B@[2, 129]:11 + B:CB@[2, 130]:11 + B:CB@[2, 131]:13",-114
283,1000063,UR1114,3007735,p319s1,"B:CB@[3, 139, 0]:23","(139, 0)","B:CB@[3, 139]:10",23,B:CB,3,"YB@[2, 82]:10 + YB@[2, 83]:3 + YB@[2, 84]:10",-216
284,1000063,UR1114,3007721,p86s1,"GY@[2, 66, 0]:12","(66, 0)","G0@[2, 66]:72",12,GY,3,"B@[2, 77]:5 + B@[2, 78]:5 + B@[2, 79]:2",12
285,1000063,UR1114,3007724,p155s1,"W:B:CB@[2, 135, 0]:12","(135, 0)","B:CB@[2, 135]:10",12,W:B:CB,3,"B@[3, 77]:4 + B@[3, 78]:4 + B@[3, 79]:4",103
